Country,Region,Subregion,Current female head of state,Names of elected and appointed female heads of state or governments with dates,Names of elected and appointed female heads of state or governments since 1946,Number of elected and appointed female heads of state or governments since 1946,Percentage of ministerial positions held by women,Rank of ministerial positions held by women,Percentage of seats held by women in the national legislature,Rank of seats held by women in the national legislature,Percentage of female candidates in the most recent elections to the national legislature,Rank of female candidates in the most recent elections to the national legislature,Percentage of elected seats held by women in local government bodies,Rank of elected seats held by women in local government bodies,Political parity score,Political parity score rank
Equatorial Guinea,Sub-Saharan Africa,Central Africa,, ,,0,10.71,142,20.35,116,-1,-1,26.85,61,18.6,125
Eritrea,Sub-Saharan Africa,East Africa,, ,,0,17.65,110,-1,-2,-1,-1,-1,-1,10.7,165
Estonia,Europe,Northern Europe,"Kersti Kaljulaid, Kaja Kallas","Kersti Kaljulaid (October 10, 2016 to Incumbent), Kaja Kallas (January 26, 2021 to Incumbent)","Kersti Kaljulaid (current), Kaja Kallas (current)",2,14.29,128,27.72,64,32.12,33,28.63,50,29.7,72
Eswatini,Sub-Saharan Africa,Southern Africa,, ,,0,31.58,50,18.45,129,15.18,74,14.21,101,20.7,114
Ethiopia,Sub-Saharan Africa,East Africa,Sahle-Work Zewde,"Sahle-Work Zewde (October 25, 2018 to Incumbent)",Sahle-Work Zewde (current),1,40,25,37.29,32,-1,-1,-1,-1,43.2,34
Fiji,Asia and the Pacific,Australasia and Pacific,, ,,0,23.08,81,21.57,105,23.83,54,-1,-1,22.2,106
Finland,Europe,Northern Europe,Sanna Marin,"Tarja Halonen (March 1, 2000 to March 1, 2012), Anneli Jaatteenmaki (April 17, 2003 to June 24, 2003), Mari Kiviniemi (June 22, 2010 to June 22, 2011), Sanna Marin (December 10, 2019 to Incumbent)","Tarja Halonen, Anneli Jaatteenmaki, Mari Kiviniemi, Sanna Marin (current)",4,50,1,46,10,41.98,13,39,21,68.6,5
France,Europe,Western Europe,,"Edith Cresson (May 15, 1991 to April 2, 1992)",Edith Cresson,1,50,1,37.73,31,42.43,9,40.4,18,60.7,12
Gabon,Sub-Saharan Africa,Central Africa,Rose Christiane Raponda,"Rose Christiane Raponda (July 16, 2020 to Incumbent)",Rose Christiane Raponda (current),1,23.08,81,16.53,140,-1,-1,-1,-1,16.9,134
Gambia,Sub-Saharan Africa,West Africa,, ,,0,25,74,8.62,171,8.79,90,-1,-1,13.1,151
Georgia,Europe,Caucasus,Salome Zurabishvili,"Salome Zurabishvili (December 16, 2018 to Incumbent)",Salome Zurabishvili (current),1,36.36,36,20.81,112,-1,-1,13.46,102,25.5,86
Germany,Europe,Western Europe,Angela Merkel,"Angela Merkel (November 22, 2005 to Incumbent)",Angela Merkel (current),1,40,25,31.88,48,29,43,28,56,43.5,33
Ghana,Sub-Saharan Africa,West Africa,, ,,0,25,74,14.55,148,-1,-1,3.8,125,13.6,145
Greece,Europe,Southeastern Europe,Katerina Sakellaropoulou,"Katerina Sakellaropoulou (March 13, 2020 to Incumbent)",Katerina Sakellaropoulou (current),1,10.53,144,21.67,104,-1,-1,-1,-1,13.6,145
Grenada,Americas,Caribbean,, ,,0,33.33,40,32.14,47,31.11,40,-2,-2,35.7,60
Guatemala,Americas,Central America,, ,,0,13.33,134,19.38,124,-1,-1,10.59,112,12.8,153
Guinea,Sub-Saharan Africa,West Africa,, ,,0,27.78,69,16.67,137,-1,-1,15.43,97,19.2,121
Guinea-Bissau,Sub-Saharan Africa,West Africa,, ,,0,50,1,13.73,153,-1,-1,-1,-1,38.6,46
